% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000182    140.42857  -37.47692    0.15     263.3980    8.8124   160.0695  -49.4054
000183    149.00000  -37.47692    0.10     268.5103   13.4047   168.9388  -46.1222
000184    157.57143  -37.47692    0.08     274.2176   17.4022   177.2081  -42.7402
000185    166.14286  -37.47692    0.13     280.5113   20.6985   185.0170  -39.3340
000186    174.71429  -37.47692    0.11     287.3352   23.1868   192.4834  -35.9667
000187    183.28571  -37.47692    0.09     294.5735   24.7725   199.7047  -32.6933
000188    191.85714  -37.47692    0.07     302.0514   25.3880   206.7594  -29.5625
000189    200.42857  -37.47692    0.06     309.5555   25.0051   213.7099  -26.6187
000190    209.00000  -37.47692    0.08     316.8673   23.6416   220.6051  -23.9032
000191    217.57143  -37.47692    0.09     323.8008   21.3566   227.4816  -21.4538
000192    226.14286  -37.47692    0.08     330.2256   18.2400   234.3652  -19.3058
000193    234.71429  -37.47692    0.31     336.0723   14.3967   241.2722  -17.4909
000194    243.28571  -37.47692    0.67     341.3227    9.9343   248.2103  -16.0368
000195    251.85714  -37.47692    0.66     345.9932    4.9538   255.1794  -14.9665
000196    260.42857  -37.47692    8.76     350.1191   -0.4549   262.1734  -14.2973
000197    269.00000  -37.47692    0.25     353.7413   -6.2146   269.1820  -14.0405
000198    277.57143  -37.47692    0.10     356.8974  -12.2598   276.1921  -14.2002
000199    286.14286  -37.47692    0.43     359.6148  -18.5355   283.1906  -14.7739
000200    294.71429  -37.47692    0.16       1.9051  -24.9947   290.1662  -15.7520
000201    303.28571  -37.47692    0.08       3.7569  -31.5967   297.1118  -17.1184
000202    311.85714  -37.47692    0.04       5.1243  -38.3039   304.0257  -18.8515
000203    320.42857  -37.47692    0.09       5.9054  -45.0788   310.9137  -20.9245
000204    329.00000  -37.47692    0.02       5.8982  -51.8788   317.7898  -23.3065
000205    337.57143  -37.47692    0.01       4.7020  -58.6447   324.6778  -25.9632
000206    346.14286  -37.47692    0.01       1.4748  -65.2755   331.6115  -28.8573
